desc,url,github,jobs,languages
autotrader,http://engineering.autotrader.co.uk/,autotraderuk,https://careers.autotrader.co.uk/,"java javascript python ruby typescript"
snagajob,https://engineering.snagajob.com/,snagajob,http://www.snagajob.com/about/positions/35900,"c# coffeescript java python roff swift"
helpscout,https://engineering.helpscout.com/,helpscout,https://www.helpscout.net/company/careers/,"css javascript php ruby"
crowdfire,https://crowdfire.engineering/,codigami,https://www.crowdfireapp.com/careers,"go java objective-c python swift"
pagerduty,https://engineering.pagerduty.com/,pagerduty,https://www.pagerduty.com/careers/,"elixir go html javascript perl python ruby scala"
paxos,https://eng.paxos.com/,paxos-bankchain,https://www.paxos.com/careers#jobs,"go javascript python"
simacan,http://nerds.simacan.com,simacan,https://www.simacan.com/about/,"java javascript python scala shell"
drivy,https://drivy.engineering/,drivy,https://www.drivy.com/jobs,"java javascript ruby shell"
handshake,https://joinhandshake.com/engineering-blog/,strydercorp,https://joinhandshake.com/careers/,""
redfin,https://redfin.engineering/,redfin,https://www.redfin.com/about/jobs/departments/engineering,"" 
